date,net_flow,net_flow_cny_million,money_flow_method,traded_value,net_flow_direction
2024-12-30,-656949183.9999968,-656.9491839999968,ohlcv_price_volume_proxy,985423776.0,outflow
2024-12-31,-654474174.3157912,-654.4741743157913,ohlcv_price_volume_proxy,731471136.0,outflow
2025-01-01,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-02,-608909863.6551722,-608.9098636551722,ohlcv_price_volume_proxy,840875526.0,outflow
2025-01-03,-501098499.9999994,-501.0984999999994,ohlcv_price_volume_proxy,787440500.0,outflow
2025-01-04,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-05,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-06,296949093.0000066,296.9490930000066,ohlcv_price_volume_proxy,593898186.0,inflow
2025-01-07,507932055.0,507.932055,ohlcv_price_volume_proxy,507932055.0,inflow
2025-01-08,190568419.1999986,190.5684191999986,ohlcv_price_volume_proxy,635228064.0,inflow
2025-01-09,-93781353.99999835,-93.78135399999834,ohlcv_price_volume_proxy,468906770.0,outflow
2025-01-10,-895655862.0000001,-895.6558620000001,ohlcv_price_volume_proxy,895655862.0000001,outflow
2025-01-11,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-12,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-13,559941247.2727284,559.9412472727284,ohlcv_price_volume_proxy,615935372.0,inflow
2025-01-14,600031999.7777811,600.0319997777812,ohlcv_price_volume_proxy,771469714.0,inflow
2025-01-15,-107414767.76470365,-107.41476776470364,ohlcv_price_volume_proxy,608683684.0,outflow
2025-01-16,-498296713.04347855,-498.2967130434786,ohlcv_price_volume_proxy,764054960.0,outflow
2025-01-17,1920198103.1999896,1920.1981031999896,ohlcv_price_volume_proxy,2400247629.0,inflow
2025-01-18,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-19,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-20,1245935718.6956453,1245.9357186956454,ohlcv_price_volume_proxy,2046894395.0,inflow
2025-01-21,2152578096.000003,2152.578096000003,ohlcv_price_volume_proxy,4305156192.0,inflow
2025-01-22,-1911321360.0000107,-1911.3213600000108,ohlcv_price_volume_proxy,2421007056.0,outflow
2025-01-23,-314574543.4838689,-314.5745434838689,ohlcv_price_volume_proxy,3250603616.0,outflow
2025-01-24,171651157.81817812,171.65115781817812,ohlcv_price_volume_proxy,1888162736.0,inflow
2025-01-25,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-26,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-27,-1104229010.1176484,-1104.2290101176484,ohlcv_price_volume_proxy,1564324430.9999998,outflow
2025-01-28,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-29,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-30,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-01-31,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-01,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-02,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-03,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-04,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-05,-771118143.6000011,-771.1181436000011,ohlcv_price_volume_proxy,1927795359.0,outflow
2025-02-06,-218650185.00000486,-218.65018500000485,ohlcv_price_volume_proxy,1311901110.0,outflow
2025-02-07,682244513.9999983,682.2445139999983,ohlcv_price_volume_proxy,2425758272.0,inflow
2025-02-08,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-09,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-10,921196957.3333311,921.196957333331,ohlcv_price_volume_proxy,1381795436.0,inflow
2025-02-11,-1099813648.4999964,-1099.8136484999964,ohlcv_price_volume_proxy,1256929884.0,outflow
2025-02-12,3022722440.0,3022.72244,ohlcv_price_volume_proxy,3022722440.0,inflow
2025-02-13,175999977.30768058,175.99997730768058,ohlcv_price_volume_proxy,4575999410.0,inflow
2025-02-14,-845775129.2941246,-845.7751292941246,ohlcv_price_volume_proxy,2054025314.0,outflow
2025-02-15,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-16,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-17,-896671426.5600054,-896.6714265600054,ohlcv_price_volume_proxy,1724368128.0,outflow
2025-02-18,-990057398.6206914,-990.0573986206914,ohlcv_price_volume_proxy,1511140239.9999998,outflow
2025-02-19,576674531.2500048,576.6745312500047,ohlcv_price_volume_proxy,1384018875.0,inflow
2025-02-20,-468375338.18182725,-468.37533818182726,ohlcv_price_volume_proxy,1030425744.0,outflow
2025-02-21,122880691.49999727,122.88069149999727,ohlcv_price_volume_proxy,1474568298.0,inflow
2025-02-22,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-23,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-02-24,-545173436.1951209,-545.173436195121,ohlcv_price_volume_proxy,2483567876.0,outflow
2025-02-25,-1217286467.3684244,-1217.2864673684244,ohlcv_price_volume_proxy,1360496640.0,outflow
2025-02-26,1141564367.9999917,1141.5643679999916,ohlcv_price_volume_proxy,1522085824.0,inflow
2025-02-27,-89334580.86667301,-89.33458086667301,ohlcv_price_volume_proxy,1340018713.0,outflow
2025-02-28,-1174034583.333331,-1174.034583333331,ohlcv_price_volume_proxy,2113262250.0,outflow
2025-03-01,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-02,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-03,-913195955.9047613,-913.1959559047613,ohlcv_price_volume_proxy,1475162698.0,outflow
2025-03-04,111424357.59999259,111.42435759999259,ohlcv_price_volume_proxy,1114243576.0,inflow
2025-03-05,-190298578.33333233,-190.29857833333233,ohlcv_price_volume_proxy,1027612323.0,outflow
2025-03-06,1012315286.7692232,1012.3152867692232,ohlcv_price_volume_proxy,1645012340.9999998,inflow
2025-03-07,-1028637586.2857034,-1028.6375862857035,ohlcv_price_volume_proxy,1200077184.0,outflow
2025-03-08,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-09,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-10,-281308415.38461465,-281.30841538461465,ohlcv_price_volume_proxy,731401880.0000001,outflow
2025-03-11,388912799.3999953,388.9127993999953,ohlcv_price_volume_proxy,648187998.9999999,inflow
2025-03-12,0.0,0.0,ohlcv_price_volume_proxy,491908992.0,flat
2025-03-13,-354713605.90909576,-354.71360590909575,ohlcv_price_volume_proxy,557407095.0,outflow
2025-03-14,599027775.2727284,599.0277752727285,ohlcv_price_volume_proxy,1098217588.0,inflow
2025-03-15,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-16,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-17,-769979434.7368469,-769.9794347368469,ohlcv_price_volume_proxy,975307284.0,outflow
2025-03-18,-134547244.79999763,-134.54724479999763,ohlcv_price_volume_proxy,672736224.0,outflow
2025-03-19,-58810977.99999883,-58.81097799999883,ohlcv_price_volume_proxy,529298801.99999994,outflow
2025-03-20,-227470193.000005,-227.470193000005,ohlcv_price_volume_proxy,454940385.99999994,outflow
2025-03-21,192334611.20000684,192.33461120000683,ohlcv_price_volume_proxy,961673056.0,inflow
2025-03-22,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-23,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-24,-528038093.800004,-528.038093800004,ohlcv_price_volume_proxy,754340134.0,outflow
2025-03-25,52330178.11111421,52.330178111114215,ohlcv_price_volume_proxy,470971603.0,inflow
2025-03-26,-255375719.99999437,-255.37571999999437,ohlcv_price_volume_proxy,510751440.00000006,outflow
2025-03-27,36635310.54545395,36.63531054545395,ohlcv_price_volume_proxy,402988416.0,inflow
2025-03-28,-279924793.6000013,-279.9247936000013,ohlcv_price_volume_proxy,349905992.0,outflow
2025-03-29,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-30,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-03-31,39468123.46153415,39.46812346153415,ohlcv_price_volume_proxy,513085605.0,inflow
2025-04-01,-89040328.41176286,-89.04032841176286,ohlcv_price_volume_proxy,504561861.00000006,outflow
2025-04-02,-178412255.99999604,-178.41225599999603,ohlcv_price_volume_proxy,356824512.0,outflow
2025-04-03,163207904.99999633,163.20790499999634,ohlcv_price_volume_proxy,652831619.9999999,inflow
2025-04-04,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-05,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-06,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-07,-524634912.7659588,-524.6349127659588,ohlcv_price_volume_proxy,1297781100.0,outflow
2025-04-08,646249333.3333333,646.2493333333332,ohlcv_price_volume_proxy,969374000.0,inflow
2025-04-09,784964687.9999983,784.9646879999983,ohlcv_price_volume_proxy,1308274480.0,inflow
2025-04-10,803797033.8461543,803.7970338461544,ohlcv_price_volume_proxy,1492765920.0,inflow
2025-04-11,-194357044.8,-194.3570448,ohlcv_price_volume_proxy,971785224.0,outflow
2025-04-12,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-13,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-14,-336180425.0000053,-336.1804250000053,ohlcv_price_volume_proxy,605124765.0,outflow
2025-04-15,88651257.50000197,88.65125750000196,ohlcv_price_volume_proxy,531907545.0,inflow
2025-04-16,166765129.14285767,166.76512914285766,ohlcv_price_volume_proxy,583677952.0,inflow
2025-04-17,311298437.6470615,311.2984376470615,ohlcv_price_volume_proxy,1764024480.0,inflow
2025-04-18,734215050.461533,734.215050461533,ohlcv_price_volume_proxy,1193099456.9999998,inflow
2025-04-19,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-20,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-21,-103990812.00000617,-103.99081200000617,ohlcv_price_volume_proxy,935917308.0,outflow
2025-04-22,66908744.666665345,66.90874466666534,ohlcv_price_volume_proxy,602178702.0,inflow
2025-04-23,-597490020.5555522,-597.4900205555523,ohlcv_price_volume_proxy,768201455.0000001,outflow
2025-04-24,0.0,0.0,ohlcv_price_volume_proxy,587833992.0,flat
2025-04-25,-1291637550.0,-1291.63755,ohlcv_price_volume_proxy,1291637550.0,outflow
2025-04-26,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-27,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-04-28,-720983299.5555514,-720.9832995555514,ohlcv_price_volume_proxy,926978527.9999999,outflow
2025-04-29,-296425226.00000435,-296.42522600000433,ohlcv_price_volume_proxy,444637838.99999994,outflow
2025-04-30,563338038.6315746,563.3380386315746,ohlcv_price_volume_proxy,629613102.0,inflow
2025-05-01,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-02,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-03,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-04,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-05,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-06,328461074.66666913,328.4610746666691,ohlcv_price_volume_proxy,492691612.0,inflow
2025-05-07,-726981546.6666616,-726.9815466666616,ohlcv_price_volume_proxy,934690560.0,outflow
2025-05-08,69423622.85714109,69.4236228571411,ohlcv_price_volume_proxy,485965359.99999994,inflow
2025-05-09,-497257404.0,-497.257404,ohlcv_price_volume_proxy,497257404.0,outflow
2025-05-10,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-11,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-12,429660770.0,429.66077,ohlcv_price_volume_proxy,429660770.0,inflow
2025-05-13,-171396707.99999565,-171.39670799999564,ohlcv_price_volume_proxy,399925652.0,outflow
2025-05-14,117665723.99999678,117.66572399999679,ohlcv_price_volume_proxy,509884804.0,inflow
2025-05-15,-511911001.0,-511.911001,ohlcv_price_volume_proxy,511911001.0,outflow
2025-05-16,-40977230.3333398,-40.977230333339804,ohlcv_price_volume_proxy,368795073.0,outflow
2025-05-17,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-18,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-19,152798719.9999973,152.79871999999727,ohlcv_price_volume_proxy,381996800.0,inflow
2025-05-20,71454962.40000509,71.45496240000509,ohlcv_price_volume_proxy,357274812.0,inflow
2025-05-21,-146564912.00000325,-146.56491200000326,ohlcv_price_volume_proxy,293129824.0,outflow
2025-05-22,-318548231.5555573,-318.5482315555573,ohlcv_price_volume_proxy,409562012.0,outflow
2025-05-23,-293120256.0,-293.120256,ohlcv_price_volume_proxy,293120256.0,outflow
2025-05-24,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-25,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-05-26,50150380.799998224,50.150380799998224,ohlcv_price_volume_proxy,250751904.0,inflow
2025-05-27,34538593.999999315,34.538593999999314,ohlcv_price_volume_proxy,310847346.0,inflow
2025-05-28,-211764609.77777895,-211.76460977777896,ohlcv_price_volume_proxy,272268784.0,outflow
2025-05-29,0.0,0.0,ohlcv_price_volume_proxy,310612670.0,flat
2025-05-30,-323646880.0,-323.64688,ohlcv_price_volume_proxy,323646880.0,outflow
2025-05-31,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-01,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-02,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-03,141872038.00000417,141.87203800000418,ohlcv_price_volume_proxy,425616113.99999994,inflow
2025-06-04,143630924.571431,143.63092457143102,ohlcv_price_volume_proxy,335138824.0,inflow
2025-06-05,145476613.71428204,145.47661371428202,ohlcv_price_volume_proxy,339445432.0,inflow
2025-06-06,-213373757.14285925,-213.37375714285926,ohlcv_price_volume_proxy,298723259.99999994,outflow
2025-06-07,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-08,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-09,97975338.0000029,97.9753380000029,ohlcv_price_volume_proxy,293926014.0,inflow
2025-06-10,-363862736.4705895,-363.86273647058954,ohlcv_price_volume_proxy,687296280.0,outflow
2025-06-11,-92958085.28571194,-92.95808528571195,ohlcv_price_volume_proxy,650706597.0000001,outflow
2025-06-12,-175203792.75000584,-175.20379275000585,ohlcv_price_volume_proxy,700815171.0,outflow
2025-06-13,-313466999.9999938,-313.4669999999938,ohlcv_price_volume_proxy,564240600.0,outflow
2025-06-14,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-15,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-16,285214212.00000286,285.2142120000029,ohlcv_price_volume_proxy,855642636.0000001,inflow
2025-06-17,-162986281.28571016,-162.98628128571016,ohlcv_price_volume_proxy,380301323.0,outflow
2025-06-18,-260396833.45454246,-260.39683345454245,ohlcv_price_volume_proxy,409195024.0,outflow
2025-06-19,-373896742.1538423,-373.8967421538423,ohlcv_price_volume_proxy,540073072.0000001,outflow
2025-06-20,-219934043.33333498,-219.93404333333498,ohlcv_price_volume_proxy,329901065.0,outflow
2025-06-21,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-22,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-23,269811926.2222237,269.8119262222237,ohlcv_price_volume_proxy,346901048.0,inflow
2025-06-24,218822058.33332902,218.822058333329,ohlcv_price_volume_proxy,393879705.0,inflow
2025-06-25,527841272.0,527.841272,ohlcv_price_volume_proxy,527841272.0,inflow
2025-06-26,-281424546.0000041,-281.4245460000041,ohlcv_price_volume_proxy,422136818.99999994,outflow
2025-06-27,-402205003.20000273,-402.20500320000275,ohlcv_price_volume_proxy,502756254.0,outflow
2025-06-28,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-29,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-06-30,0.0,0.0,ohlcv_price_volume_proxy,387814866.0,flat
2025-07-01,-103617799.09090966,-103.61779909090966,ohlcv_price_volume_proxy,379931930.0,outflow
2025-07-02,662712050.0000037,662.7120500000037,ohlcv_price_volume_proxy,852058350.0,inflow
2025-07-03,-333041189.0909122,-333.0411890909122,ohlcv_price_volume_proxy,523350440.00000006,outflow
2025-07-04,-230285032.72726902,-230.28503272726903,ohlcv_price_volume_proxy,506627072.00000006,outflow
2025-07-05,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-06,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-07,52393894.13332774,52.393894133327734,ohlcv_price_volume_proxy,785908411.9999999,inflow
2025-07-08,390229412.36363184,390.22941236363187,ohlcv_price_volume_proxy,613217648.0,inflow
2025-07-09,-160429905.99999526,-160.42990599999527,ohlcv_price_volume_proxy,481289718.0,outflow
2025-07-10,661698957.111109,661.698957111109,ohlcv_price_volume_proxy,1701511604.0,inflow
2025-07-11,500457241.81817853,500.45724181817855,ohlcv_price_volume_proxy,1101005932.0,inflow
2025-07-12,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-13,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-14,-501799781.2499978,-501.7997812499978,ohlcv_price_volume_proxy,802879650.0,outflow
2025-07-15,475612673.6842041,475.6126736842041,ohlcv_price_volume_proxy,1004071200.0,inflow
2025-07-16,-278498568.0000062,-278.4985680000062,ohlcv_price_volume_proxy,556997136.0,outflow
2025-07-17,116384895.99999742,116.38489599999743,ohlcv_price_volume_proxy,465539584.0,inflow
2025-07-18,75427542.00000536,75.42754200000536,ohlcv_price_volume_proxy,377137710.0,inflow
2025-07-19,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-20,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-21,327408839.9999903,327.4088399999903,ohlcv_price_volume_proxy,491113259.99999994,inflow
2025-07-22,787078973.6842144,787.0789736842144,ohlcv_price_volume_proxy,996966700.0,inflow
2025-07-23,-535238054.4000009,-535.2380544000009,ohlcv_price_volume_proxy,1146938688.0,outflow
2025-07-24,811817295.8823491,811.8172958823492,ohlcv_price_volume_proxy,1254626730.0,inflow
2025-07-25,-418986710.99999076,-418.98671099999075,ohlcv_price_volume_proxy,837973422.0000001,outflow
2025-07-26,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-27,0.0,0.0,ohlcv_price_volume_proxy,0.0,flat
2025-07-28,304032944.25000226,304.0329442500023,ohlcv_price_volume_proxy,810754518.0,inflow
2025-07-29,676559198.9999999,676.5591989999999,ohlcv_price_volume_proxy,676559198.9999999,inflow
