episode,total_reward,epsilon,experiment
1,28906.361481000276,0.21355457002808648,dqn_with_nlp
2,60627.47850400017,0.05,dqn_with_nlp
3,90368.06829500009,0.05,dqn_with_nlp
4,44206.456041000085,0.05,dqn_with_nlp
5,51102.01959800007,0.05,dqn_with_nlp
6,65108.70919900003,0.05,dqn_with_nlp
7,75382.77281400003,0.05,dqn_with_nlp
8,83839.69404000015,0.05,dqn_with_nlp
9,87577.19170100003,0.05,dqn_with_nlp
10,40749.08401600018,0.05,dqn_with_nlp
11,75320.36560500003,0.05,dqn_with_nlp
12,65580.00135300009,0.05,dqn_with_nlp
13,69092.14044000002,0.05,dqn_with_nlp
14,53981.58360500002,0.05,dqn_with_nlp
15,85994.04859400002,0.05,dqn_with_nlp
16,68215.2201650001,0.05,dqn_with_nlp
17,78605.50062000012,0.05,dqn_with_nlp
18,70337.29816000006,0.05,dqn_with_nlp
19,16811.528320000027,0.05,dqn_with_nlp
20,7547.738030000008,0.05,dqn_with_nlp
21,92732.14178200008,0.05,dqn_with_nlp
22,-10375.79054999999,0.05,dqn_with_nlp
23,66422.71836400009,0.05,dqn_with_nlp
24,62023.632281000086,0.05,dqn_with_nlp
25,86330.94120400009,0.05,dqn_with_nlp
26,89458.49953500018,0.05,dqn_with_nlp
27,67373.17254400006,0.05,dqn_with_nlp
28,57070.2458320001,0.05,dqn_with_nlp
29,40830.89310200012,0.05,dqn_with_nlp
30,52296.235687000095,0.05,dqn_with_nlp
31,39591.21676200014,0.05,dqn_with_nlp
32,48010.323029000254,0.05,dqn_with_nlp
33,39393.379422000085,0.05,dqn_with_nlp
34,38759.0483140001,0.05,dqn_with_nlp
35,5608.432341000065,0.05,dqn_with_nlp
36,3439.767459000068,0.05,dqn_with_nlp
37,52710.84066600021,0.05,dqn_with_nlp
38,64996.6651260003,0.05,dqn_with_nlp
39,50525.45654200023,0.05,dqn_with_nlp
40,29765.302987000046,0.05,dqn_with_nlp
41,40277.86868800019,0.05,dqn_with_nlp
42,36038.404265000194,0.05,dqn_with_nlp
43,-2263.1818089998706,0.05,dqn_with_nlp
44,40665.28108000028,0.05,dqn_with_nlp
45,-7128.6112829998165,0.05,dqn_with_nlp
46,80737.02891900035,0.05,dqn_with_nlp
47,25387.940630000376,0.05,dqn_with_nlp
48,49376.21161500024,0.05,dqn_with_nlp
49,32397.027037000284,0.05,dqn_with_nlp
50,39822.14961900012,0.05,dqn_with_nlp
51,9734.05708500008,0.05,dqn_with_nlp
52,-8282.005490999843,0.05,dqn_with_nlp
53,55639.12576600007,0.05,dqn_with_nlp
54,64171.30754100028,0.05,dqn_with_nlp
55,-17939.02210599986,0.05,dqn_with_nlp
56,-13627.911626999892,0.05,dqn_with_nlp
57,50394.97082500011,0.05,dqn_with_nlp
58,5832.080300000176,0.05,dqn_with_nlp
59,35586.027305000345,0.05,dqn_with_nlp
60,-9919.32834099984,0.05,dqn_with_nlp
61,42677.05870400026,0.05,dqn_with_nlp
62,62886.34500800003,0.05,dqn_with_nlp
63,16557.026424000098,0.05,dqn_with_nlp
64,35606.88455500023,0.05,dqn_with_nlp
65,-26047.101746999964,0.05,dqn_with_nlp
66,-6580.369740999842,0.05,dqn_with_nlp
67,26789.88060000002,0.05,dqn_with_nlp
68,35528.80431900019,0.05,dqn_with_nlp
69,78884.4546280003,0.05,dqn_with_nlp
70,7002.1217640001705,0.05,dqn_with_nlp
71,57415.904318000044,0.05,dqn_with_nlp
72,12529.020208000133,0.05,dqn_with_nlp
73,85997.18137900013,0.05,dqn_with_nlp
74,63150.23160999999,0.05,dqn_with_nlp
75,66202.70887999999,0.05,dqn_with_nlp
76,81000.4034690001,0.05,dqn_with_nlp
77,-19025.600197999942,0.05,dqn_with_nlp
78,-328.3075839999219,0.05,dqn_with_nlp
79,29277.285344000135,0.05,dqn_with_nlp
80,-2671.647499999948,0.05,dqn_with_nlp
81,12904.248819000102,0.05,dqn_with_nlp
82,10637.424356000105,0.05,dqn_with_nlp
83,33293.622300000075,0.05,dqn_with_nlp
84,14548.339620000028,0.05,dqn_with_nlp
85,127858.6251700001,0.05,dqn_with_nlp
86,26277.896562000213,0.05,dqn_with_nlp
87,8908.70547700001,0.05,dqn_with_nlp
88,22000.225504000045,0.05,dqn_with_nlp
89,42675.76880800034,0.05,dqn_with_nlp
90,23187.393305000092,0.05,dqn_with_nlp
91,0.0,0.05,dqn_with_nlp
92,876.4344800000399,0.05,dqn_with_nlp
93,-7287.3155099998985,0.05,dqn_with_nlp
94,25462.606980000215,0.05,dqn_with_nlp
95,28582.6782780004,0.05,dqn_with_nlp
96,-1230.5302429999865,0.05,dqn_with_nlp
97,-3971.0342099999543,0.05,dqn_with_nlp
98,32241.077308000065,0.05,dqn_with_nlp
99,25910.125430000073,0.05,dqn_with_nlp
100,-32572.563860999624,0.05,dqn_with_nlp
101,37899.11982800049,0.05,dqn_with_nlp
102,77155.27314300023,0.05,dqn_with_nlp
103,72833.95886800016,0.05,dqn_with_nlp
104,54248.05562800029,0.05,dqn_with_nlp
105,66701.58358100025,0.05,dqn_with_nlp
