episode,total_reward,epsilon,experiment
1,912.8723300002894,0.21355457002808648,dqn_without_nlp
2,45921.49226800003,0.05,dqn_without_nlp
3,34957.62745300005,0.05,dqn_without_nlp
4,26226.582777000105,0.05,dqn_without_nlp
5,51983.244857000245,0.05,dqn_without_nlp
6,43327.71210200008,0.05,dqn_without_nlp
7,53626.986208000046,0.05,dqn_without_nlp
8,57368.99866800007,0.05,dqn_without_nlp
9,28293.905292000083,0.05,dqn_without_nlp
10,40198.26643800011,0.05,dqn_without_nlp
11,20838.79851500009,0.05,dqn_without_nlp
12,21253.72191100003,0.05,dqn_without_nlp
13,136404.6917520001,0.05,dqn_without_nlp
14,74096.20207000003,0.05,dqn_without_nlp
15,63979.533980000095,0.05,dqn_without_nlp
16,130333.25193600002,0.05,dqn_without_nlp
17,50845.4028650001,0.05,dqn_without_nlp
18,48500.181100000016,0.05,dqn_without_nlp
19,76670.27751800005,0.05,dqn_without_nlp
20,51465.51638500011,0.05,dqn_without_nlp
21,84479.76904700004,0.05,dqn_without_nlp
22,92264.71509800002,0.05,dqn_without_nlp
23,55653.31700100005,0.05,dqn_without_nlp
24,72093.27414600016,0.05,dqn_without_nlp
25,100789.3802640001,0.05,dqn_without_nlp
26,45332.659074000054,0.05,dqn_without_nlp
27,63989.37832000005,0.05,dqn_without_nlp
28,-10888.92318199994,0.05,dqn_without_nlp
29,79337.46257400015,0.05,dqn_without_nlp
30,71404.60302600014,0.05,dqn_without_nlp
31,60285.301182000054,0.05,dqn_without_nlp
32,80156.882798,0.05,dqn_without_nlp
33,78604.07363000009,0.05,dqn_without_nlp
34,59313.49460700006,0.05,dqn_without_nlp
35,48209.82761700009,0.05,dqn_without_nlp
36,56857.612970000075,0.05,dqn_without_nlp
37,37319.01749200007,0.05,dqn_without_nlp
38,69493.41828200012,0.05,dqn_without_nlp
39,77890.40841200005,0.05,dqn_without_nlp
40,37843.88032300008,0.05,dqn_without_nlp
41,32550.285544000042,0.05,dqn_without_nlp
42,45770.881831999985,0.05,dqn_without_nlp
43,81416.19780500012,0.05,dqn_without_nlp
44,88413.68130800017,0.05,dqn_without_nlp
45,72227.0528530002,0.05,dqn_without_nlp
46,78518.84330300012,0.05,dqn_without_nlp
47,4164.450046000027,0.05,dqn_without_nlp
48,115769.63678400006,0.05,dqn_without_nlp
49,52258.80101300002,0.05,dqn_without_nlp
50,88561.96579800008,0.05,dqn_without_nlp
51,71092.67962400004,0.05,dqn_without_nlp
52,83256.65240400014,0.05,dqn_without_nlp
53,73448.3042940002,0.05,dqn_without_nlp
54,73099.66759800003,0.05,dqn_without_nlp
55,62601.55897800013,0.05,dqn_without_nlp
56,48915.180296000006,0.05,dqn_without_nlp
57,71016.39696600017,0.05,dqn_without_nlp
58,65411.07334000009,0.05,dqn_without_nlp
59,78251.40694800008,0.05,dqn_without_nlp
60,45113.37500300014,0.05,dqn_without_nlp
61,23690.995790000045,0.05,dqn_without_nlp
62,59955.82013600011,0.05,dqn_without_nlp
63,79254.15585600011,0.05,dqn_without_nlp
64,60036.36294300007,0.05,dqn_without_nlp
65,29819.270150000026,0.05,dqn_without_nlp
66,64433.417640000116,0.05,dqn_without_nlp
67,57586.61273500015,0.05,dqn_without_nlp
