date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,keywords
2020-01-02,600519.SS,896.765,913.825,884.765,898.765,898.765,148099.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-02 日行情文本摘要,2020-01-02，600519A股交易日行情记录；开盘价896.76；最高价913.83；最低价884.76；收盘价898.76；成交量148099；按开盘价计算当日上涨0.22%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-03,600519.SS,885.765,885.765,845.665,847.325,847.325,130318.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-03 日行情文本摘要,2020-01-03，600519A股交易日行情记录；开盘价885.76；最高价885.76；最低价845.66；收盘价847.33；成交量130318；按开盘价计算当日下跌4.34%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-04,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2020-01-05,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2020-01-06,600519.SS,839.625,861.665,836.065,846.755,846.755,63414.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-06 日行情文本摘要,2020-01-06，600519A股交易日行情记录；开盘价839.62；最高价861.66；最低价836.07；收盘价846.75；成交量63414；按开盘价计算当日上涨0.85%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-07,600519.SS,846.265,867.765,845.165,863.295,863.295,47853.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-07 日行情文本摘要,2020-01-07，600519A股交易日行情记录；开盘价846.26；最高价867.76；最低价845.16；收盘价863.29；成交量47853；按开盘价计算当日上涨2.01%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-08,600519.SS,853.815,864.265,851.345,856.905,856.905,25008.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-08 日行情文本摘要,2020-01-08，600519A股交易日行情记录；开盘价853.82；最高价864.26；最低价851.35；收盘价856.9；成交量25008；按开盘价计算当日上涨0.36%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-09,600519.SS,862.765,874.155,858.765,871.465,871.465,37405.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-09 日行情文本摘要,2020-01-09，600519A股交易日行情记录；开盘价862.76；最高价874.15；最低价858.76；收盘价871.47；成交量37405；按开盘价计算当日上涨1.01%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-10,600519.SS,877.765,884.755,871.265,881.265,881.265,35975.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2020-01-10 日行情文本摘要,2020-01-10，600519A股交易日行情记录；开盘价877.76；最高价884.75；最低价871.26；收盘价881.26；成交量35975；按开盘价计算当日上涨0.40%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2020-01-11,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
